Merchant Id,Transaction Type,Merchant Order Id,Merchant Reference Id,PhonePe Reference Id,PhonePe Transaction Reference Id,PhonePe Attempt Reference Id,Transaction UTR,Total Transaction Amount,Transaction Date,Transaction Status,UPI Amount,Wallet Amount,Credit card Amount,Debit card Amount,External Wallet Amount,EGV Amount,Store Id,Terminal Id,Store Name,Terminal Name,Error Code,Detailed Error Code,Error Description,Error Source,Error Stage
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769701287149,ORDER_1769701287149,OMO2601292111277843923234W,OMO2601292111277843923234W,ORDER_1769701287149,315189316532,300.0,2026-01-29 21:11:42,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769701225816,ORDER_1769701225816,OMO2601292110263132430092W,OMO2601292110263132430092W,ORDER_1769701225816,313094563120,300.0,2026-01-29 21:10:38,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769701076840,ORDER_1769701076840,OMO2601292107575699828574W,OMO2601292107575699828574W,ORDER_1769701076840,127100883609,300.0,2026-01-29 21:08:07,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769700869938,ORDER_1769700869938,OMO2601292104302702082011W,OMO2601292104302702082011W,ORDER_1769700869938,663034644452,300.0,2026-01-29 21:04:45,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769700270873,ORDER_1769700270873,OMO2601292054320207452282W,OMO2601292054320207452282W,ORDER_1769700270873,214002245745,300.0,2026-01-29 20:54:49,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769700244775,ORDER_1769700244775,OMO2601292054053387452346W,OMO2601292054053387452346W,ORDER_1769700244775,490236083453,300.0,2026-01-29 20:54:18,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769699991535,ORDER_1769699991535,OMO2601292049523108372557W,OMO2601292049523108372557W,ORDER_1769699991535,114216643885,300.0,2026-01-29 20:50:30,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769699949680,ORDER_1769699949680,OMO2601292049101003388056W,OMO2601292049101003388056W,ORDER_1769699949680,702858019560,300.0,2026-01-29 20:49:21,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769699899654,ORDER_1769699899654,OMO2601292048200900647872W,OMO2601292048200900647872W,ORDER_1769699899654,189671075594,300.0,2026-01-29 20:48:58,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769699860999,ORDER_1769699860999,OMO2601292047422212430136W,OMO2601292047422212430136W,ORDER_1769699860999,672614863294,300.0,2026-01-29 20:48:54,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769699621762,ORDER_1769699621762,OMO2601292043426066814092W,OMO2601292043426066814092W,ORDER_1769699621762,798816445195,300.0,2026-01-29 20:45:10,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769699636681,ORDER_1769699636681,OMO2601292043569845797278W,OMO2601292043569845797278W,ORDER_1769699636681,230753550515,300.0,2026-01-29 20:44:42,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769699429443,ORDER_1769699429443,OMO2601292040297546685129W,OMO2601292040297546685129W,ORDER_1769699429443,633469089516,300.0,2026-01-29 20:41:11,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769699447573,ORDER_1769699447573,OMO2601292040482267452148W,OMO2601292040482267452148W,ORDER_1769699447573,126502886426,300.0,2026-01-29 20:40:59,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769699347068,ORDER_1769699347068,OMO2601292039078763923524W,OMO2601292039078763923524W,ORDER_1769699347068,639557181756,300.0,2026-01-29 20:39:23,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769699184966,ORDER_1769699184966,OMO2601292036256192082768W,OMO2601292036256192082768W,ORDER_1769699184966,628346721336,300.0,2026-01-29 20:37:10,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769698896627,ORDER_1769698896627,OMO2601292031369522337928W,OMO2601292031369522337928W,ORDER_1769698896627,566884584412,300.0,2026-01-29 20:32:02,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769698497333,ORDER_1769698497333,OMO2601292024577288372481W,OMO2601292024577288372481W,ORDER_1769698497333,602965614733,300.0,2026-01-29 20:26:20,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769698561560,ORDER_1769698561560,OMO2601292026022759828309W,OMO2601292026022759828309W,ORDER_1769698561560,896558065953,300.0,2026-01-29 20:26:13,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769698547107,ORDER_1769698547107,OMO2601292025478010647563W,OMO2601292025478010647563W,ORDER_1769698547107,993773826001,300.0,2026-01-29 20:26:10,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769698121274,ORDER_1769698121274,OMO2601292018417947452665W,OMO2601292018417947452665W,ORDER_1769698121274,155867097716,300.0,2026-01-29 20:19:15,COMPLETED,300.0,,,,,,,,,,,,,,
